Word,Pknown,FreqZipfUS,Length
mend,0.988,3.41,4
root,0.988,4.02,4
pier,0.988,3.81,4
pant,0.988,2.99,4
runt,0.988,3.39,4
pest,0.988,3.45,4
fell,0.988,4.86,4
save,0.988,5.20,4
ball,0.988,5.02,4
veal,0.988,3.55,4
face,0.988,5.46,4
foxy,0.988,3.48,4
duct,0.988,3.49,4
swap,0.988,3.56,4
cope,0.988,3.51,4
omit,0.988,2.46,4
melt,0.988,3.86,4
kilt,0.987,2.79,4
dope,0.987,4.20,4
scam,0.987,3.78,4
cork,0.987,3.45,4
nope,0.987,4.54,4
real,0.987,5.64,4
duke,0.987,4.39,4
taxi,0.987,4.41,4
dine,0.987,3.63,4
bent,0.987,3.85,4
spew,0.987,2.68,4
bunk,0.987,3.79,4
sled,0.987,3.46,4
wide,0.987,4.37,4
dust,0.987,4.37,4
dull,0.987,4.08,4
flea,0.987,3.52,4
colt,0.987,3.71,4
limp,0.987,3.56,4
mash,0.987,3.64,4
hurl,0.987,3.13,4
lent,0.987,3.57,4
trim,0.987,3.63,4
feud,0.987,3.11,4
beef,0.987,4.29,4
stag,0.987,3.20,4
blob,0.987,3.07,4
hunk,0.987,3.71,4
hazy,0.987,2.91,4
loft,0.987,3.56,4
dean,0.987,4.58,4
soar,0.987,3.18,4
tuck,0.987,3.90,4
bulb,0.987,3.59,4
grin,0.987,3.43,4
left,0.987,5.68,4
hash,0.987,3.54,4
wait,0.987,5.91,4
fuzz,0.987,3.27,4
gush,0.986,2.86,4
gosh,0.986,4.47,4
kite,0.986,3.36,4
wick,0.986,3.40,4
brat,0.986,3.79,4
slit,0.986,3.58,4
disk,0.986,3.82,4
gnat,0.986,2.65,4
loss,0.986,4.46,4
beta,0.986,3.53,4
laid,0.986,4.47,4
clot,0.986,3.26,4
lens,0.986,3.67,4
mold,0.986,3.63,4
ease,0.986,4.28,4
hose,0.986,3.90,4
wilt,0.986,3.26,4
rock,0.985,4.93,4
wail,0.985,2.94,4
whim,0.985,3.37,4
than,0.985,5.86,4
trot,0.985,3.26,4
deli,0.985,3.32,4
posh,0.985,3.11,4
wash,0.985,4.60,4
keen,0.985,3.65,4
fist,0.985,3.86,4
mutt,0.985,3.59,4
claw,0.985,3.64,4
yawn,0.985,3.00,4
aqua,0.985,3.14,4
snot,0.985,3.32,4
yank,0.985,3.67,4
woke,0.985,4.42,4
gore,0.984,3.04,4
lark,0.984,3.21,4
thou,0.984,4.35,4
mini,0.984,3.55,4
hawk,0.984,4.10,4
axes,0.984,2.84,4
reel,0.984,3.51,4
rift,0.984,3.04,4
ford,0.984,4.06,4
grub,0.984,3.43,4
disc,0.984,3.41,4
rant,0.984,2.83,4
pike,0.984,3.66,4
deed,0.984,3.96,4
demo,0.984,3.51,4
wavy,0.984,2.75,4
cyst,0.984,2.65,4
loin,0.984,2.57,4
sync,0.984,3.51,4
cone,0.984,3.46,4
gulf,0.984,3.67,4
wand,0.984,3.49,4
heir,0.984,3.71,4
woof,0.984,3.44,4
butt,0.984,4.58,4
shin,0.984,3.49,4
bond,0.984,4.49,4
hoax,0.984,3.38,4
twig,0.983,3.13,4
reed,0.983,3.95,4
watt,0.983,3.27,4
beak,0.983,3.32,4
hulk,0.983,3.61,4
